Date,Item_Name,Consumption,Stock_Before_Delivery,Delivery_Amount,Previous_Stock,Reasoning
2025-08-11,12oz Paper Cups,0.5999999999999996,6.9,0.0,7.5,"Started with 7.5, no deliveries, ended with 6.9"
2025-08-12,12oz Paper Cups,0.7000000000000002,6.2,0.0,6.9,"Started with 6.9, no deliveries, ended with 6.2"
2025-08-13,12oz Paper Cups,0.6000000000000005,5.6,0.0,6.2,"Started with 6.2, no deliveries, ended with 5.6"
2025-08-14,12oz Paper Cups,0.5999999999999996,5.0,0.0,5.6,"Started with 5.6, no deliveries, ended with 5.0"
2025-08-15,12oz Paper Cups,0.7000000000000002,4.3,0.0,5.0,"Started with 5.0, no deliveries, ended with 4.3"
2025-08-16,12oz Paper Cups,0.5,3.8,0.0,4.3,"Started with 4.3, no deliveries, ended with 3.8"
2025-08-17,12oz Paper Cups,0.6999999999999997,3.1,0.0,3.8,"Started with 3.8, no deliveries, ended with 3.1"
2025-08-18,12oz Paper Cups,0.6000000000000001,2.5,0.0,3.1,"Started with 3.1, no deliveries, ended with 2.5"
2025-08-19,12oz Paper Cups,0.6000000000000001,1.9,0.0,2.5,"Started with 2.5, no deliveries, ended with 1.9"
2025-08-20,12oz Paper Cups,0.7,1.2,0.0,1.9,"Started with 1.9, no deliveries, ended with 1.2"
2025-08-21,12oz Paper Cups,0.6,0.6,0.0,1.2,"Started with 1.2, no deliveries, ended with 0.6"
2025-08-22,12oz Paper Cups,0.39999999999999947,0.20000000000000018,7.0,0.6,"Started with 0.6, received 7.0 delivery, ended with 7.2"
2025-08-23,12oz Paper Cups,0.7000000000000002,6.5,0.0,7.2,"Started with 7.2, no deliveries, ended with 6.5"
2025-08-11,House Blend Coffee,1.1999999999999993,10.8,0.0,12.0,"Started with 12.0, no deliveries, ended with 10.8"
2025-08-12,House Blend Coffee,1.3000000000000007,9.5,0.0,10.8,"Started with 10.8, no deliveries, ended with 9.5"
2025-08-13,House Blend Coffee,1.4000000000000004,8.1,0.0,9.5,"Started with 9.5, no deliveries, ended with 8.1"
2025-08-14,House Blend Coffee,1.1999999999999993,6.9,0.0,8.1,"Started with 8.1, no deliveries, ended with 6.9"
2025-08-15,House Blend Coffee,1.3000000000000007,5.6,0.0,6.9,"Started with 6.9, no deliveries, ended with 5.6"
2025-08-16,House Blend Coffee,1.5,4.1,0.0,5.6,"Started with 5.6, no deliveries, ended with 4.1"
2025-08-17,House Blend Coffee,1.2999999999999998,2.8,0.0,4.1,"Started with 4.1, no deliveries, ended with 2.8"
2025-08-18,House Blend Coffee,1.3000000000000007,1.5,12.0,2.8,"Started with 2.8, received 12.0 delivery, ended with 13.5"
