DATE,Item ,"UNIT (box, sleeve, etc)",Quantity in store,,,Price purchased,Price sold,Supplier,Quantity in warehouse,
,MILKS,,,,,,,,,
,Whole Milk,,20,,,,,,,
,Low-Fat,,,,,,,,,
,Half n Half,,,,,,,,,
,Heavy Cream,,,,,,,,,
,Oat,,,,,,,,,
,Almond,,,,,,,,,
,,,,,,,,,,
3/17,SYRUPS,,,,,,,,,
,Dark Chocolate,bottle,,,,,,,12,
,Homemade Vanilla,bottle,,,,,,,,
3/19,Vanilla Creme,bottle,,,,,,,0,
3/19,Caramel,bottle,,,,,,,7,
3/19,Strawberry,bottle,,,,,,,4,
,Pistachio,bottle,,,,,,,19,
,Strawberry,bottle,,,,,,,8,
,,,,,,,,,,
,Dark Chocolate Sauce,bottle,,,,,,,9,
,,,,,,,,,,
,Irish Cream,bottle,,,,,,,11,
,Ube,bottle,,,,,,,3,
,Rose,bottle,,,,,,,3,
,Gingerbread,bottle,,,,,,,4,
,,,,,,,,,,
3/17,TEA,,,,,,,,,
,Matcha,,,,,,,,,
3/19,Chai Masala,bottle,,,,,,,7,
,Turmeric Ginger,,,,,,,,,
,English Breakfast,,,,,,,,7,
,Earl Grey,,,,,,,,1,
,Pineapple Papaya,,,,,,,,1,
,Moroccan Mint,,,,,,,,2,
,Jasmine,,,,,,,,1,
,"Chai, caffeinr free",,,,,,,,4,
,Chamomint,bag,,,,,,,1,
,,,,,,,,,,
3/17,DRY GOODS,,,,,,,,,
,Charcoal,bags,,,,,,,4,
,Raisins,bags,,,,,,,2,
,Walnuts,Bags,,,,,,,3,
,Pistachios,,,,,,,,,
,Cinnamon,,,,,,,,,
,Cane Sugar Bulk,,,,,,,,,
,Stevia,,,,,,,,,
,Raw Sugar,,,,,,,,,
,Splenda,Box,,,,,,,1,
,,,,,,,,,,
3/17,CUPS + LIDS,,,,,,,,,
,Cold 16 oz Cups,sleeve,,,,,,,,
,Cold 14 oz Cups,,,,,,,,,
,Cold Lids,,,,,,,,,
,Hot 12 oz Cups,,,,,,,,,
,Hot 12oz Lids,,,,,,,,,
,Hot 8oz Cups,,,,,,,,,
,Hot 8oz Lids,box,,,,,,,5,
,,,,,,,,,,
3/19,GRAB & GO,,,,,,,,,
,San Pellegrino Bottles,bottles,11,,,,,,,
,San Pellegrino Cans,box,3,,,,,,9,
3/19,Fiji Small,6-pack,0,,,,,,0,
3/19,Fiji Large,individual,3,,,,,,0,
,Lychee Soda,can,5,,,,,,,
,Yuzu Ginger Soda,can,4,,,,,,,
,Hibiscus Rose Soda,can,8,,,,,,,
,Cucumber Soda,can,3,,,,,,,
,,,,,,,,,,
3/19,GROCERIES,,,,,,,,,
,Feta,tin,7,,,,,,,
,Cucumber,,0,,,,,,,
,Tomato,grapevine ,3,,,,,,,
,Greek Seasoning,,3,,,,,,,
,Olive Oil,16oz,1,,,,,,,
,Blueberries,,0,,,,,,,
,Peanut Butter,64oz,1,,,,,,,
,Bread,,1,,,,,,,
,Lemon Juice,bottle,,,,,,,4,
,,,,,,,,,,
3/17,MISC cleaners,,,,,,,,,
,Scotch,,,,,,,,,
,2 fold napkins,,,,,,,,,
,3 fold napkins,,,,,,,,,
,Handsoap,,,,,,,,,
,Bleach,,,,,,,,,
,Gloves Medium,,,,,,,,,
,Gloves Large,,,,,,,,,
,Cafiza,bucket,,,,,,,1,
,Rinza,bottle,,,,,,,1,
,Grindz,,,,,,,,,
,Sanitizer,,,,,,,,,
,Thieves Solution,,,,,,,,,
,Bleach,,,,,,,,,
,Paper Towel,roll,,,,,,,2,
,Toilet Paper,roll,,,,,,,13,
,x,box,,,,,,,4,
,,,,,,,,,,
3/17,MISC,,,,,,,,,
,Teapot,individual,,,,,,,,
,Cold brew bag,individual,,,,,,,4,
,Silverware,,,,,,,,,
,Cup Sleeves,,,,,,,,,
,Cup Carriers,bag,,,,,,,2,
,Pastry Bag,,,,,,,,,
,To-Go Box,bags,,,,,,,3,
,To-Go Bag,box,,,,,,,1,
,Straws,box,,,,,,,,
,Stickers,roll,,,,,,,,
,Stir Sticks,packs,,,,,,,8,
,Stoppers,packs,,,,,,,,
,Matcha bowl,individual,,,,,,,,
,Matcha whisk,individual,,,,,,,,
,Large coffee filter,box,,,,,,,1.5,
,,,,,,,,,,
,-------------------------------------------,,,,,,,,,
,,,,,,,,,,
DATE,Item ,"UNIT (box, sleeve, etc)",Quantity in store,,,,,,,
3/21,MILKS,,,,,,,,,
,Whole Milk,,10,,,,,,,
,Low-Fat,,5,,,,,,,
,Half n Half,,8,,,,,,,
,Heavy Cream,,8,,,,,,,
,Oat,,25,,,,,,,
,Almond,,24,,,,,,,
,,,,,,,,,,
,SYRUPS,,,,,,,,,
,Dark Chocolate,bottle,,,,,,,,
,Homemade Vanilla,bottle,,,,,,,,
,Vanilla Creme,bottle,,,,,,,,
,Caramel,bottle,,,,,,,,
,Strawberry,bottle,,,,,,,,
,Pistachio,bottle,,,,,,,,
,Strawberry,bottle,,,,,,,,
,,,,,,,,,,
,Dark Chocolate Sauce,bottle,,,,,,,,
,,,,,,,,,,
,Irish Cream,bottle,,,,,,,,
,Ube,bottle,,,,,,,,
,Rose,bottle,,,,,,,,
,Gingerbread,bottle,,,,,,,,
,,,,,,,,,,
3/21,TEA,,,,,,,,,
,Matcha,bag,1/2,,,,,,,
,Chai Masala,bottle,4,,,,,,,
,Turmeric Ginger,carton,9,,,,,,,
,English Breakfast,bag,1,,,,,,,
,Earl Grey,bag,1,,,,,,,
,Pineapple Papaya,bag,1,,,,,,,
,Moroccan Mint,bag,LOW,,,,,,,
,Jasmine,bag,LOW,,,,,,,
,"Chai, caffeine free",bag,OUT,,,,,,,
,Chamomint,bag,1,,,,,,,
,,,,,,,,,,
,DRY GOODS,,,,,,,,,
,Charcoal,bags,,,,,,,,
,Raisins,bags,,,,,,,,
,Walnuts,Bags,,,,,,,,
,Pistachios,,,,,,,,,
,Cinnamon,,,,,,,,,
,Cane Sugar Bulk,,,,,,,,,
,Stevia,,,,,,,,,
,Raw Sugar,,,,,,,,,
,Splenda,Box,,,,,,,,
,,,,,,,,,,
3/21,CUPS + LIDS,,,,,,,,,
,Cold 16 oz Cups,box,OUT,,,,,,,
,Cold 14 oz Cups,box,1,,,,,,,
,Cold Lids,sleeve,3,,,,,,,
,Hot 12 oz Cups,box,1,,,,,,,
,Hot 12oz Lids,box,2,,,,,,,
,Hot 8oz Cups,box,2,,,,,,,
,Hot 8oz Lids,box,2,,,,,,,
,,,,,,,,,,
,GRAB & GO,,,,,,,,,
,San Pellegrino Bottles,bottles,,,,,,,,
,San Pellegrino Cans,box,,,,,,,,
,Fiji Small,6-pack,,,,,,,,
,Fiji Large,individual,,,,,,,,
,Lychee Soda,can,,,,,,,,
,Yuzu Ginger Soda,can,,,,,,,,
,Hibiscus Rose Soda,can,,,,,,,,
,Cucumber Soda,can,,,,,,,,
,,,,,,,,,,
